Implementation;K;N;M;T;max_iterations;Flops;Cylces;Iterations;Performance;Memory (aprox.)(bytes);Benchmark time(s)
Baseline;16;16;16;32;500;1235232;778557021.800000;0;0.793283;1296416;6.562914
jc-reordered;16;16;16;32;500;1235232;681969540.150000;0;0.905636;1296416;5.753894
scalar-reorder;16;16;16;32;500;1235232;647087059.000000;0;0.954456;1296416;5.445016
scalar-blocking;16;16;16;32;500;1235232;401237783.100000;0;1.539277;1296416;3.381080
other-unroll;16;16;16;32;500;1235232;336677072.100000;0;1.834446;1296416;2.835548
vector_optimized;16;16;16;32;500;1235232;296477602.300000;0;2.083179;1296416;2.497657
combined;16;16;16;32;500;1235232;195867219.900000;0;3.153238;1296416;1.650568
Baseline;16;16;32;32;500;1243680;947058870.600000;407;0.656601;1298464;7.974020
jc-reordered;16;16;32;32;500;1243680;816668948.500000;407;0.761435;1298464;6.877821
scalar-reorder;16;16;32;32;500;1243680;760375838.100000;407;0.817806;1298464;6.404035
scalar-blocking;16;16;32;32;500;1243680;519671843.500000;407;1.196601;1298464;4.377335
other-unroll;16;16;32;32;500;1243680;372399177.500000;407;1.669821;1298464;3.137801
vector_optimized;16;16;32;32;500;1243680;329136694.850000;407;1.889306;1298464;2.772548
combined;16;16;32;32;500;1243680;228941859.650000;407;2.716148;1298464;1.929145
Baseline;16;16;64;32;500;1260576;1257547893.800000;0;0.501204;1302560;10.590051
jc-reordered;16;16;64;32;500;1260576;1150330427.200000;0;0.547919;1302560;9.685671
scalar-reorder;16;16;64;32;500;1260576;1097861394.300000;0;0.574105;1302560;9.245897
scalar-blocking;16;16;64;32;500;1260576;850358427.700000;0;0.741203;1302560;7.151828
other-unroll;16;16;64;32;500;1260576;427343790.700000;0;1.474897;1302560;3.600447
vector_optimized;16;16;64;32;500;1260576;383276452.650000;0;1.644474;1302560;3.228388
combined;16;16;64;32;500;1260576;281406810.250000;0;2.239775;1302560;2.370864
Baseline;16;16;128;32;500;1294368;1884312108.100000;194;0.343459;1310752;15.867769
jc-reordered;16;16;128;32;500;1294368;1779938685.500000;194;0.363599;1310752;14.988342
scalar-reorder;16;16;128;32;500;1294368;1751025804.500000;194;0.369603;1310752;14.745236
